iter	Passed	Remaining
878	51033	7025
879	51084	6966
880	51135	6906
881	51185	6847
882	51238	6789
883	51288	6730
884	51338	6671
885	51390	6612
886	51454	6555
887	51503	6495
888	51560	6437
889	51627	6380
890	51685	6322
891	51742	6264
892	51801	6206
893	51859	6148
894	51918	6090
895	51971	6032
896	52024	5973
897	52083	5915
898	52141	5857
899	52198	5799
900	52256	5741
901	52315	5683
902	52375	5626
903	52432	5568
904	52490	5510
905	52549	5452
906	52607	5394
907	52661	5335
908	52711	5276
909	52763	5218
910	52813	5159
911	52864	5100
912	52914	5042
913	52965	4983
914	53016	4924
915	53066	4866
916	53116	4807
917	53165	4749
918	53215	4690
919	53266	4631
920	53316	4573
921	53366	4514
922	53417	4456
923	53467	4397
924	53517	4339
925	53568	4280
926	53619	4222
927	53670	4164
928	53729	4106
929	53786	4048
930	53844	3990
931	53905	3933
932	53963	3875
933	54021	3817
934	54081	3759
935	54138	3701
936	54202	3644
937	54271	3587
938	54321	3528
939	54372	3470
940	54430	3412
941	54487	3354
942	54544	3296
943	54595	3238
944	54646	3180
945	54697	3122
946	54748	3064
947	54803	3006
948	54854	2947
949	54904	2889
950	54954	2831
951	55005	2773
952	55055	2715
953	55105	2657
954	55155	2598
955	55206	2540
956	55257	2482
957	55313	2425
958	55372	2367
959	55430	2309
960	55490	2251
961	55547	2194
962	55605	2136
963	55664	2078
964	55722	2021
965	55777	1963
966	55831	1905
967	55895	1847
968	55953	1790
969	56011	1732
970	56070	1674
971	56128	1616
972	56185	1559
973	56243	1501
974	56301	1443
975	56361	1385
976	56419	1328
977	56477	1270
978	56534	1212
979	56599	1155
980	56658	1097
981	56716	1039
982	56775	981
983	56834	924
984	56892	866
985	56949	808
986	57007	750
987	57065	693
988	57123	635
989	57180	577
990	57240	519
991	57301	462
992	57359	404
993	57415	346
994	57466	288
995	57517	230
996	57567	173
997	57618	115
998	57669	57
999	57732	0
